"","Date","Time","Fo","Fm","FvFm","sample_id","temp","aggregate","leachate","species","days_of_exposure","treatment"
"227","24-06-22",20:37:59,807,1857,0.565,"H10L","hot",10,"low","A. elegantissima x B. muscatinei","4","hot_low"
"228","24-06-22",20:38:17,644,1466,0.561,"H5L","hot",5,"low","A. elegantissima x B. muscatinei","4","hot_low"
"229","24-06-22",20:38:35,837,1797,0.534,"H2L","hot",2,"low","A. elegantissima x B. muscatinei","4","hot_low"
"230","24-06-22",20:38:51,605,1336,0.547,"H1L","hot",1,"low","A. elegantissima x B. muscatinei","4","hot_low"
"231","24-06-22",20:39:35,250,489,0.489,"H10H","hot",10,"high","A. elegantissima x B. muscatinei","4","hot_high"
"232","24-06-22",20:40:00,377,911,0.586,"H8H","hot",8,"high","A. elegantissima x B. muscatinei","4","hot_high"
"233","24-06-22",20:40:18,343,760,0.549,"H7H","hot",7,"high","A. elegantissima x B. muscatinei","4","hot_high"
"234","24-06-22",20:40:42,628,1528,0.589,"H3H","hot",3,"high","A. elegantissima x B. muscatinei","4","hot_high"
"235","24-06-22",20:41:10,472,1081,0.563,"H9H","hot",9,"high","A. elegantissima x B. muscatinei","4","hot_high"
"236","24-06-22",20:41:35,59,138,0.572,"H1H","hot",1,"high","A. elegantissima x B. muscatinei","4","hot_high"
"237","24-06-22",20:42:06,941,2060,0.543,"H5H","hot",5,"high","A. elegantissima x B. muscatinei","4","hot_high"
"238","24-06-22",20:42:27,503,1131,0.555,"H2H","hot",2,"high","A. elegantissima x B. muscatinei","4","hot_high"
"239","24-06-22",20:42:58,389,966,0.597,"H6H","hot",6,"high","A. elegantissima x B. muscatinei","4","hot_high"
"240","24-06-22",20:43:19,613,1503,0.592,"H4H","hot",4,"high","A. elegantissima x B. muscatinei","4","hot_high"
