Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm
24-07-21,12:34:58.779,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 58.960 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:34:58.779,REG2,,"#1: alpha: 0.159, ETRm: 65.603, Ik: 413.680   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:35:00.169,FO,157,815,1751,0,0.535,0.0,0,0,0,0,0,0,0,815,1751,0.535
24-07-21,12:35:10.286,F,158,924,1705,44,0.458,8.5,727,0.799,-0.045,0.629,0.027,0.528,0.014,815,1751,0.535
24-07-21,12:35:20.410,F,159,920,1695,80,0.457,15.4,703,0.781,-0.060,0.597,0.033,0.525,0.018,815,1751,0.535
24-07-21,12:35:30.528,F,160,931,1654,116,0.437,21.3,711,0.767,-0.007,0.586,0.059,0.532,0.031,815,1751,0.535
24-07-21,12:35:40.645,F,161,983,1636,161,0.399,27.0,733,0.723,0.035,0.539,0.070,0.561,0.040,815,1751,0.535
24-07-21,12:35:50.711,F,162,1092,1714,222,0.363,33.8,735,0.635,-0.046,0.427,0.022,0.624,0.013,815,1751,0.535
24-07-21,12:36:00.837,F,163,1190,1706,336,0.302,42.6,745,0.537,-0.027,0.336,0.026,0.680,0.018,815,1751,0.535
24-07-21,12:36:10.942,F,164,1301,1714,504,0.241,51.0,737,0.423,-0.044,0.240,0.022,0.743,0.016,815,1751,0.535
24-07-21,12:36:21.089,F,165,1371,1681,743,0.184,57.4,740,0.329,-0.005,0.178,0.042,0.783,0.033,815,1751,0.535
24-07-21,12:36:31.247,F,166,1451,1669,1110,0.131,61.1,724,0.231,-0.010,0.115,0.049,0.829,0.040,815,1751,0.535
24-07-21,12:36:41.366,F,167,1455,1636,1450,0.111,67.6,717,0.197,0.018,0.097,0.070,0.831,0.058,815,1751,0.535
24-07-21,12:36:51.485,F,168,1451,1578,2031,0.080,68.2,690,0.143,0.051,0.068,0.110,0.829,0.091,815,1751,0.535
24-07-21,12:37:01.607,F,169,1470,1569,2649,0.063,70.1,722,0.117,0.095,0.057,0.116,0.840,0.097,815,1751,0.535
24-07-21,12:37:09.276,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:39:05.314,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:39:05.314,REG1,,"#1: alpha: 0.191, ETRm: 94.850, Ik: 495.731   ( beta: 0.001, ETRmPot: 97.182 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:39:05.314,REG2,,"#1: alpha: 0.151, ETRm: 92.730, Ik: 615.456   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:39:06.711,FO,170,384,817,0,0.530,0.0,0,0,0,0,0,0,0,384,817,0.530
24-07-21,12:39:16.825,F,171,439,798,44,0.450,8.3,345,0.792,-0.046,0.622,0.024,0.537,0.013,384,817,0.530
24-07-21,12:39:26.947,F,172,428,757,80,0.435,14.6,332,0.774,0.018,0.600,0.079,0.524,0.041,384,817,0.530
24-07-21,12:39:37.064,F,173,431,741,116,0.418,20.4,333,0.760,0.058,0.587,0.103,0.528,0.054,384,817,0.530
24-07-21,12:39:47.186,F,174,451,744,161,0.394,26.6,330,0.708,0.044,0.518,0.098,0.552,0.054,384,817,0.530
24-07-21,12:39:57.305,F,175,455,719,222,0.367,34.2,325,0.670,0.090,0.479,0.136,0.557,0.076,384,817,0.530
24-07-21,12:40:07.424,F,176,467,698,336,0.331,46.7,326,0.621,0.141,0.434,0.170,0.572,0.097,384,817,0.530
24-07-21,12:40:17.548,F,177,519,726,504,0.285,60.3,329,0.521,0.083,0.330,0.125,0.635,0.080,384,817,0.530
24-07-21,12:40:27.665,F,178,539,703,742,0.233,72.6,316,0.424,0.106,0.249,0.162,0.660,0.107,384,817,0.530
24-07-21,12:40:37.783,F,179,552,681,1110,0.189,88.1,317,0.354,0.159,0.203,0.200,0.676,0.135,384,817,0.530
24-07-21,12:40:47.900,F,180,571,673,1451,0.152,92.6,308,0.279,0.157,0.150,0.214,0.699,0.149,384,817,0.530
24-07-21,12:40:58.021,F,181,563,629,2030,0.105,89.5,292,0.196,0.222,0.102,0.299,0.689,0.206,384,817,0.530
24-07-21,12:41:08.143,F,182,544,596,2647,0.087,96.7,284,0.167,0.279,0.087,0.371,0.666,0.247,384,817,0.530
24-07-21,12:41:16.454,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:43:11.361,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:43:11.361,REG1,,"#1: alpha: 0.213, ETRm: 81.964, Ik: 385.551   ( beta: 0.000, ETRmPot: 82.645 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:43:11.361,REG2,,"#1: alpha: 0.167, ETRm: 80.139, Ik: 479.645   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:43:12.757,FO,183,254,526,0,0.517,0.0,0,0,0,0,0,0,0,254,526,0.517
24-07-21,12:43:22.870,F,184,278,535,44,0.480,8.9,239,0.868,-0.088,0.746,-0.017,0.529,-0.009,254,526,0.517
24-07-21,12:43:32.994,F,185,287,540,80,0.469,15.8,237,0.835,-0.114,0.690,-0.026,0.546,-0.015,254,526,0.517
24-07-21,12:43:43.110,F,186,289,522,116,0.446,21.7,227,0.790,-0.085,0.621,0.008,0.549,0.005,254,526,0.517
24-07-21,12:43:53.237,F,187,292,501,161,0.417,28.2,228,0.766,-0.004,0.598,0.050,0.555,0.028,254,526,0.517
24-07-21,12:44:03.349,F,188,312,517,222,0.397,37.0,232,0.719,-0.048,0.535,0.017,0.593,0.010,254,526,0.517
24-07-21,12:44:13.475,F,189,339,515,336,0.342,48.3,232,0.622,-0.040,0.426,0.021,0.644,0.014,254,526,0.517
24-07-21,12:44:23.591,F,190,371,518,504,0.284,60.1,234,0.518,-0.044,0.327,0.015,0.705,0.011,254,526,0.517
24-07-21,12:44:33.712,F,191,404,515,742,0.216,67.3,233,0.394,-0.037,0.227,0.021,0.768,0.016,254,526,0.517
24-07-21,12:44:43.829,F,192,419,501,1110,0.164,76.5,230,0.303,0.004,0.166,0.050,0.797,0.039,254,526,0.517
24-07-21,12:44:53.950,F,193,430,497,1450,0.135,82.2,234,0.255,0.033,0.139,0.058,0.817,0.048,254,526,0.517
24-07-21,12:45:04.068,F,194,453,503,2030,0.099,84.4,226,0.181,-0.018,0.090,0.046,0.861,0.040,254,526,0.517
24-07-21,12:45:14.183,F,195,439,473,2647,0.072,80.0,219,0.134,0.066,0.067,0.112,0.835,0.093,254,526,0.517
24-07-21,12:45:22.663,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:47:09.532,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:47:09.532,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 72.322 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:47:09.532,REG2,,"#1: alpha: 0.149, ETRm: 77.659, Ik: 521.619   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:47:10.921,FO,196,542,1161,0,0.533,0.0,0,0,0,0,0,0,0,542,1161,0.533
24-07-21,12:47:21.042,F,197,671,1218,44,0.449,8.3,547,0.815,-0.084,0.664,-0.047,0.578,-0.027,542,1161,0.533
24-07-21,12:47:31.162,F,198,692,1249,80,0.446,15.0,547,0.793,-0.134,0.627,-0.070,0.596,-0.042,542,1161,0.533
24-07-21,12:47:41.276,F,199,711,1241,116,0.427,20.8,547,0.764,-0.121,0.588,-0.064,0.612,-0.039,542,1161,0.533
24-07-21,12:47:51.400,F,200,743,1249,161,0.405,27.4,563,0.738,-0.108,0.559,-0.070,0.640,-0.045,542,1161,0.533
24-07-21,12:48:01.518,F,201,793,1250,222,0.366,34.1,537,0.641,-0.152,0.434,-0.071,0.683,-0.049,542,1161,0.533
24-07-21,12:48:11.637,F,202,805,1168,336,0.311,43.9,517,0.558,-0.052,0.358,-0.006,0.693,-0.004,542,1161,0.533
24-07-21,12:48:21.762,F,203,827,1116,504,0.259,54.8,493,0.464,-0.006,0.277,0.040,0.712,0.029,542,1161,0.533
24-07-21,12:48:31.882,F,204,875,1099,742,0.204,63.6,484,0.364,0.006,0.201,0.056,0.754,0.042,542,1161,0.533
24-07-21,12:48:41.997,F,205,905,1063,1110,0.149,69.5,481,0.271,0.060,0.144,0.092,0.780,0.071,542,1161,0.533
24-07-21,12:48:52.114,F,206,915,1053,1450,0.131,79.8,464,0.234,0.048,0.119,0.103,0.788,0.081,542,1161,0.533
24-07-21,12:49:02.241,F,207,930,1029,2031,0.096,81.9,452,0.172,0.068,0.084,0.128,0.801,0.103,542,1161,0.533
24-07-21,12:49:12.352,F,208,930,1002,2647,0.072,80.0,442,0.129,0.095,0.061,0.159,0.801,0.127,542,1161,0.533
24-07-21,12:49:20.862,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:51:29.167,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:51:29.167,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 66.844 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:51:29.167,REG2,,"#1: alpha: 0.133, ETRm: 76.882, Ik: 576.277   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:51:30.569,FO,209,541,1143,0,0.527,0.0,0,0,0,0,0,0,0,541,1143,0.527
24-07-21,12:51:40.689,F,210,647,1165,44,0.445,8.2,522,0.806,-0.068,0.650,-0.019,0.566,-0.011,541,1143,0.527
24-07-21,12:51:50.806,F,211,655,1159,80,0.435,14.6,516,0.784,-0.068,0.618,-0.014,0.573,-0.008,541,1143,0.527
24-07-21,12:52:00.928,F,212,683,1143,116,0.402,19.6,519,0.737,-0.037,0.560,0.000,0.598,0.000,541,1143,0.527
24-07-21,12:52:11.046,F,213,707,1141,160,0.380,25.5,524,0.703,-0.025,0.521,0.002,0.619,0.001,541,1143,0.527
24-07-21,12:52:21.165,F,214,752,1135,222,0.337,31.4,518,0.621,-0.025,0.428,0.007,0.658,0.005,541,1143,0.527
24-07-21,12:52:31.287,F,215,784,1102,337,0.289,40.9,510,0.537,0.017,0.349,0.037,0.686,0.025,541,1143,0.527
24-07-21,12:52:41.401,F,216,822,1087,504,0.244,51.6,508,0.458,0.038,0.283,0.052,0.719,0.037,541,1143,0.527
24-07-21,12:52:51.542,F,217,851,1050,743,0.190,59.3,492,0.357,0.073,0.206,0.089,0.745,0.065,541,1143,0.527
24-07-21,12:53:01.665,F,218,861,1012,1110,0.149,69.5,492,0.290,0.136,0.166,0.129,0.753,0.098,541,1143,0.527
24-07-21,12:53:11.779,F,219,869,992,1450,0.124,75.5,487,0.244,0.161,0.137,0.152,0.760,0.116,541,1143,0.527
24-07-21,12:53:21.904,F,220,872,962,2029,0.094,80.1,470,0.183,0.183,0.099,0.188,0.763,0.143,541,1143,0.527
24-07-21,12:53:32.013,F,221,856,923,2648,0.073,81.2,459,0.144,0.229,0.077,0.238,0.749,0.178,541,1143,0.527
24-07-21,12:53:40.544,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:56:02.272,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:56:02.272,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 71.524 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:56:02.272,REG2,,"#1: alpha: 0.163, ETRm: 73.882, Ik: 454.515   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:56:03.797,FO,222,574,1252,0,0.542,0.0,0,0,0,0,0,0,0,574,1252,0.542
24-07-21,12:56:13.915,F,223,636,1268,44,0.498,9.2,531,0.858,-0.087,0.716,-0.013,0.508,-0.006,574,1252,0.542
24-07-21,12:56:24.033,F,224,651,1271,80,0.488,16.4,539,0.847,-0.080,0.701,-0.015,0.520,-0.008,574,1252,0.542
24-07-21,12:56:34.151,F,225,692,1273,116,0.456,22.2,536,0.788,-0.087,0.610,-0.016,0.553,-0.009,574,1252,0.542
24-07-21,12:56:44.267,F,226,727,1259,160,0.423,28.4,531,0.731,-0.074,0.534,-0.006,0.581,-0.004,574,1252,0.542
24-07-21,12:56:54.390,F,227,772,1253,222,0.384,35.8,523,0.659,-0.077,0.446,-0.001,0.617,-0.001,574,1252,0.542
24-07-21,12:57:04.508,F,228,832,1226,337,0.321,45.4,521,0.559,-0.040,0.350,0.021,0.665,0.014,574,1252,0.542
24-07-21,12:57:14.634,F,229,893,1203,504,0.258,54.6,517,0.452,-0.012,0.262,0.041,0.713,0.029,574,1252,0.542
24-07-21,12:57:24.754,F,230,945,1187,742,0.204,63.6,520,0.363,0.016,0.200,0.055,0.755,0.041,574,1252,0.542
24-07-21,12:57:34.868,F,231,1001,1178,1110,0.150,69.9,519,0.269,0.028,0.139,0.063,0.800,0.050,574,1252,0.542
24-07-21,12:57:44.982,F,232,1021,1166,1450,0.124,75.5,518,0.224,0.044,0.114,0.074,0.815,0.061,574,1252,0.542
24-07-21,12:57:55.109,F,233,1047,1154,2030,0.093,79.3,521,0.169,0.066,0.084,0.085,0.836,0.071,574,1252,0.542
24-07-21,12:58:05.232,F,234,1072,1149,2647,0.067,74.5,518,0.122,0.069,0.059,0.090,0.856,0.077,574,1252,0.542
24-07-21,12:58:13.622,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,13:00:58.645,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,13:00:58.645,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 40.026 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,13:00:58.645,REG2,,"#1: alpha: 0.068, ETRm: 44.794, Ik: 655.892   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,13:01:00.053,FO,235,199,302,0,0.341,0.0,0,0,0,0,0,0,0,199,302,0.341
24-07-21,13:01:10.172,F,236,247,332,44,0.256,4.7,218,0.746,-0.107,0.658,-0.090,0.818,-0.074,199,302,0.341
24-07-21,13:01:20.286,F,237,262,351,80,0.254,8.5,230,0.736,-0.175,0.646,-0.140,0.868,-0.122,199,302,0.341
24-07-21,13:01:30.408,F,238,286,371,116,0.229,11.2,239,0.644,-0.282,0.538,-0.186,0.947,-0.176,199,302,0.341
24-07-21,13:01:40.528,F,239,308,389,160,0.208,14.0,245,0.563,-0.398,0.448,-0.224,1.020,-0.228,199,302,0.341
24-07-21,13:01:50.647,F,240,326,398,222,0.181,16.9,252,0.493,-0.417,0.381,-0.241,1.079,-0.260,199,302,0.341
24-07-21,13:02:00.766,F,241,341,403,336,0.154,21.7,254,0.416,-0.447,0.310,-0.251,1.129,-0.283,199,302,0.341
24-07-21,13:02:10.884,F,242,357,411,504,0.131,27.7,256,0.348,-0.505,0.250,-0.265,1.182,-0.313,199,302,0.341
24-07-21,13:02:21.002,F,243,371,415,742,0.106,33.0,261,0.286,-0.495,0.201,-0.272,1.228,-0.334,199,302,0.341
24-07-21,13:02:31.119,F,244,386,418,1110,0.077,35.9,252,0.193,-0.612,0.126,-0.278,1.278,-0.355,199,302,0.341
24-07-21,13:02:41.238,F,245,381,413,1450,0.077,46.9,255,0.203,-0.534,0.136,-0.269,1.262,-0.339,199,302,0.341
24-07-21,13:02:51.385,F,246,392,415,2030,0.055,46.9,258,0.146,-0.524,0.096,-0.272,1.298,-0.353,199,302,0.341
24-07-21,13:03:01.497,F,247,401,418,2647,0.041,45.6,257,0.106,-0.563,0.068,-0.278,1.328,-0.369,199,302,0.341
24-07-21,13:03:09.888,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,13:04:37.206,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,13:04:37.206,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 57.440 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,13:04:37.206,REG2,,"#1: alpha: 0.096, ETRm: 67.211, Ik: 697.267   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,13:04:38.602,FO,248,139,216,0,0.356,0.0,0,0,0,0,0,0,0,139,216,0.356
24-07-21,13:04:48.723,F,249,159,231,44,0.312,5.8,138,0.774,-0.208,0.672,-0.065,0.736,-0.048,139,216,0.356
24-07-21,13:04:58.849,F,250,166,239,80,0.305,10.2,140,0.737,-0.286,0.622,-0.096,0.769,-0.074,139,216,0.356
24-07-21,13:05:08.970,F,251,172,244,116,0.295,14.4,143,0.713,-0.312,0.593,-0.115,0.796,-0.091,139,216,0.356
24-07-21,13:05:19.088,F,252,182,255,160,0.286,19.2,149,0.689,-0.377,0.564,-0.153,0.843,-0.129,139,216,0.356
24-07-21,13:05:29.206,F,253,200,272,222,0.265,24.7,158,0.632,-0.481,0.499,-0.206,0.926,-0.191,139,216,0.356
24-07-21,13:05:39.322,F,254,212,272,336,0.221,31.2,157,0.522,-0.494,0.387,-0.206,0.981,-0.202,139,216,0.356
24-07-21,13:05:49.439,F,255,219,269,504,0.186,39.4,153,0.431,-0.506,0.301,-0.197,1.014,-0.200,139,216,0.356
24-07-21,13:05:59.558,F,256,232,276,742,0.159,49.6,155,0.364,-0.571,0.243,-0.217,1.074,-0.233,139,216,0.356
24-07-21,13:06:09.677,F,257,241,275,1110,0.124,57.8,156,0.286,-0.545,0.185,-0.215,1.116,-0.240,139,216,0.356
24-07-21,13:06:19.800,F,258,248,277,1450,0.105,63.9,146,0.221,-0.701,0.130,-0.220,1.148,-0.253,139,216,0.356
24-07-21,13:06:29.923,F,259,241,262,2029,0.080,68.2,160,0.206,-0.325,0.137,-0.176,1.116,-0.196,139,216,0.356
24-07-21,13:06:40.041,F,260,276,295,2645,0.064,71.1,163,0.144,-0.714,0.085,-0.268,1.278,-0.342,139,216,0.356
24-07-21,13:06:48.114,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,13:09:21.265,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,13:09:21.265,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 59.129 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,13:09:21.265,REG2,,"#1: alpha: 0.088, ETRm: 69.777, Ik: 792.631   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,13:09:22.663,FO,261,104,159,0,0.346,0.0,0,0,0,0,0,0,0,104,159,0.346
24-07-21,13:09:32.785,F,262,116,162,44,0.284,5.2,100,0.742,-0.127,0.640,-0.019,0.730,-0.014,104,159,0.346
24-07-21,13:09:42.897,F,263,122,171,80,0.287,9.6,106,0.754,-0.182,0.655,-0.070,0.767,-0.054,104,159,0.346
24-07-21,13:09:53.024,F,264,129,180,116,0.283,13.8,106,0.689,-0.345,0.566,-0.117,0.811,-0.094,104,159,0.346
24-07-21,13:10:03.135,F,265,137,187,160,0.267,17.9,113,0.676,-0.345,0.558,-0.150,0.862,-0.129,104,159,0.346
24-07-21,13:10:13.263,F,266,144,190,221,0.242,22.5,115,0.613,-0.364,0.490,-0.163,0.906,-0.148,104,159,0.346
24-07-21,13:10:23.383,F,267,154,194,336,0.206,29.1,112,0.488,-0.491,0.355,-0.180,0.969,-0.175,104,159,0.346
24-07-21,13:10:33.499,F,268,156,191,504,0.183,38.7,109,0.427,-0.491,0.298,-0.168,0.981,-0.164,104,159,0.346
24-07-21,13:10:43.555,F,269,160,189,742,0.153,47.7,107,0.354,-0.491,0.237,-0.159,1.006,-0.159,104,159,0.346
24-07-21,13:10:53.735,F,270,166,190,1110,0.126,58.7,110,0.300,-0.455,0.199,-0.163,1.044,-0.170,104,159,0.346
24-07-21,13:11:03.794,F,271,170,190,1450,0.105,63.9,110,0.250,-0.455,0.162,-0.163,1.069,-0.174,104,159,0.346
24-07-21,13:11:13.916,F,272,178,194,2029,0.082,69.9,113,0.198,-0.473,0.126,-0.180,1.119,-0.201,104,159,0.346
24-07-21,13:11:24.093,F,273,184,197,2647,0.066,73.4,114,0.157,-0.509,0.097,-0.193,1.157,-0.223,104,159,0.346
24-07-21,13:11:32.514,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,13:14:16.255,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,13:14:16.255,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.007, ETRmPot: 40.815 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,13:14:16.255,REG2,,"#1: alpha: 0.102, ETRm: 57.475, Ik: 562.886   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,13:14:17.686,FO,274,215,356,0,0.396,0.0,0,0,0,0,0,0,0,215,356,0.396
24-07-21,13:14:27.803,F,275,224,347,44,0.354,6.5,197,0.820,-0.064,0.721,0.026,0.629,0.017,215,356,0.396
24-07-21,13:14:37.928,F,276,226,344,80,0.343,11.5,198,0.808,-0.035,0.708,0.035,0.635,0.022,215,356,0.396
24-07-21,13:14:48.048,F,277,236,350,116,0.326,15.9,201,0.765,-0.057,0.652,0.017,0.663,0.011,215,356,0.396
24-07-21,13:14:58.169,F,278,245,351,160,0.302,20.3,197,0.688,-0.092,0.553,0.014,0.688,0.010,215,356,0.396
24-07-21,13:15:08.284,F,279,247,340,221,0.274,25.4,196,0.646,-0.021,0.513,0.047,0.694,0.032,215,356,0.396
24-07-21,13:15:18.401,F,280,258,338,336,0.237,33.4,199,0.576,0.014,0.444,0.053,0.725,0.038,215,356,0.396
24-07-21,13:15:28.525,F,281,279,342,504,0.184,38.9,204,0.457,0.021,0.334,0.041,0.784,0.032,215,356,0.396
24-07-21,13:15:38.640,F,282,290,335,742,0.134,41.8,188,0.306,-0.043,0.198,0.063,0.815,0.051,215,356,0.396
24-07-21,13:15:48.765,F,283,266,293,1110,0.092,42.9,165,0.211,0.092,0.131,0.215,0.747,0.161,215,356,0.396
24-07-21,13:15:58.885,F,284,235,261,1450,0.100,60.9,161,0.260,0.291,0.178,0.364,0.660,0.240,215,356,0.396
24-07-21,13:16:09.001,F,285,241,260,2030,0.073,62.2,164,0.198,0.319,0.135,0.369,0.677,0.250,215,356,0.396
24-07-21,13:16:19.119,F,286,246,261,2647,0.057,63.4,163,0.153,0.305,0.101,0.364,0.691,0.252,215,356,0.396
24-07-21,13:16:27.349,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,13:18:12.061,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,13:18:12.061,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 43.791 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,13:18:12.061,REG2,,"#1: alpha: 0.115, ETRm: 56.215, Ik: 488.321   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,13:18:13.456,FO,287,245,445,0,0.449,0.0,0,0,0,0,0,0,0,245,445,0.449
24-07-21,13:18:23.574,F,288,280,440,44,0.364,6.7,217,0.717,-0.115,0.556,0.011,0.629,0.007,245,445,0.449
24-07-21,13:18:33.695,F,289,277,440,80,0.370,12.4,221,0.744,-0.095,0.594,0.011,0.622,0.008,245,445,0.449
24-07-21,13:18:43.760,F,290,298,458,116,0.349,17.0,219,0.669,-0.195,0.492,-0.028,0.670,-0.019,245,445,0.449
24-07-21,13:18:53.929,F,291,313,456,161,0.314,21.2,214,0.591,-0.210,0.404,-0.024,0.703,-0.017,245,445,0.449
24-07-21,13:19:04.053,F,292,319,448,222,0.288,26.9,237,0.611,-0.055,0.454,-0.007,0.717,-0.005,245,445,0.449
24-07-21,13:19:14.174,F,293,382,496,336,0.230,32.5,236,0.438,-0.300,0.271,-0.103,0.858,-0.088,245,445,0.449
24-07-21,13:19:24.292,F,294,386,474,504,0.186,39.4,232,0.364,-0.210,0.219,-0.061,0.867,-0.053,245,445,0.449
24-07-21,13:19:34.405,F,295,394,463,742,0.149,46.4,233,0.300,-0.150,0.177,-0.039,0.885,-0.034,245,445,0.449
24-07-21,13:19:44.533,F,296,423,479,1109,0.117,54.5,237,0.231,-0.210,0.129,-0.071,0.951,-0.068,245,445,0.449
24-07-21,13:19:54.647,F,297,442,482,1450,0.083,50.5,236,0.163,-0.230,0.087,-0.077,0.993,-0.076,245,445,0.449
24-07-21,13:20:04.704,F,298,436,468,2030,0.068,58.0,233,0.136,-0.175,0.073,-0.049,0.980,-0.048,245,445,0.449
24-07-21,13:20:14.888,F,299,439,466,2647,0.058,64.5,233,0.116,-0.165,0.062,-0.045,0.987,-0.045,245,445,0.449
24-07-21,13:20:22.608,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,13:22:27.856,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,13:22:27.856,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 40.778 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,13:22:27.856,REG2,,"#1: alpha: 0.075, ETRm: 55.741, Ik: 746.890   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,13:22:29.255,FO,300,264,454,0,0.419,0.0,0,0,0,0,0,0,0,264,454,0.419
24-07-21,13:22:39.373,F,301,334,492,44,0.321,5.9,290,0.782,-0.063,0.679,-0.077,0.736,-0.057,264,454,0.419
24-07-21,13:22:49.493,F,302,372,544,80,0.316,10.6,312,0.741,-0.221,0.621,-0.165,0.819,-0.135,264,454,0.419
24-07-21,13:22:59.629,F,303,407,570,116,0.286,13.9,323,0.660,-0.300,0.524,-0.204,0.896,-0.182,264,454,0.419
24-07-21,13:23:09.745,F,304,436,584,160,0.253,17.0,328,0.578,-0.347,0.435,-0.223,0.960,-0.213,264,454,0.419
24-07-21,13:23:19.860,F,305,462,589,222,0.216,20.1,329,0.488,-0.368,0.348,-0.229,1.018,-0.234,264,454,0.419
24-07-21,13:23:29.990,F,306,481,588,337,0.182,25.8,333,0.420,-0.342,0.291,-0.228,1.059,-0.241,264,454,0.419
24-07-21,13:23:40.110,F,307,501,581,504,0.138,29.2,332,0.321,-0.311,0.213,-0.219,1.104,-0.242,264,454,0.419
24-07-21,13:23:50.228,F,308,515,587,743,0.123,38.4,323,0.273,-0.389,0.171,-0.227,1.134,-0.257,264,454,0.419
24-07-21,13:24:00.347,F,309,522,580,1110,0.100,46.6,328,0.230,-0.326,0.145,-0.217,1.150,-0.250,264,454,0.419
24-07-21,13:24:10.462,F,310,536,585,1450,0.084,51.2,333,0.194,-0.326,0.121,-0.224,1.181,-0.265,264,454,0.419
24-07-21,13:24:20.542,F,311,561,602,2029,0.068,57.9,339,0.156,-0.384,0.094,-0.246,1.236,-0.304,264,454,0.419
24-07-21,13:24:30.707,F,312,575,607,2649,0.053,59.0,337,0.119,-0.421,0.070,-0.252,1.267,-0.320,264,454,0.419
24-07-21,13:24:38.348,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,13:27:19.718,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,13:27:19.718,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.007, ETRmPot: 92.494 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,13:27:19.718,REG2,,"#1: alpha: 0.151, ETRm: 107.476, Ik: 712.772   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,13:27:21.111,FO,313,195,413,0,0.528,0.0,0,0,0,0,0,0,0,195,413,0.528
